Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff,HT_win_rate_against,AT_win_rate_against
2006-08-19,Arsenal,Aston Villa,1.0,1.0,D,82,75,7,0.0,0.0,67.0,37.0,0.5263157894736842,0.0,0.0,0.0,,0.0,0.0,42.0,-13.0,0.2631578947368421,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,25.0,50.0,0.2631578947368421,,0.0,0.5384615384615384,0.11538461538461539
2006-08-19,Bolton,Tottenham,2.0,0.0,H,76,79,-3,0.0,0.0,56.0,8.0,0.3947368421052631,0.0,0.0,0.0,,0.0,0.0,65.0,15.0,0.4736842105263157,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-9.0,-7.0,-0.0789473684210526,,0.0,0.42857142857142855,0.35714285714285715
2006-08-19,Everton,Watford,2.0,1.0,H,77,68,9,0.0,0.0,50.0,-15.0,0.3684210526315789,0.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,51.0,-14.0,0.3684210526315789,,0.0,1.0,0.0
2006-08-19,Newcastle,Wigan,2.0,1.0,H,79,74,5,0.0,0.0,58.0,5.0,0.4473684210526316,0.0,0.0,0.0,,0.0,0.0,51.0,-7.0,0.3947368421052631,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,12.0,0.0526315789473684,,0.0,0.5,0.5
2006-08-19,Portsmouth,Blackburn,3.0,0.0,H,75,77,-2,0.0,0.0,38.0,-25.0,0.2631578947368421,0.0,0.0,0.0,,0.0,0.0,63.0,9.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-25.0,-34.0,-0.2368421052631579,,0.0,0.16666666666666666,0.6666666666666666
2006-08-19,Reading,Middlesbrough,3.0,2.0,H,71,76,-5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.0,-10.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-46.0,9.0,-0.3157894736842105,,0.0,,
2006-08-19,Sheffield United,Liverpool,1.0,1.0,D,72,81,-9,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,82.0,32.0,0.6578947368421053,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-83.0,-33.0,-0.6578947368421053,,0.0,0.5,0.0
2006-08-19,West Ham,Charlton,3.0,1.0,H,76,75,1,0.0,0.0,55.0,-3.0,0.4210526315789473,0.0,0.0,0.0,,0.0,0.0,47.0,-14.0,0.3421052631578947,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.0,11.0,0.0789473684210526,,0.0,0.2,0.5
2006-08-20,Chelsea,Man City,3.0,0.0,H,84,77,7,0.0,0.0,91.0,50.0,0.7631578947368421,0.0,0.0,0.0,,0.0,0.0,43.0,-5.0,0.3421052631578947,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,48.0,55.0,0.4210526315789474,,0.0,0.6875,0.0625
2006-08-20,Man United,Fulham,5.0,1.0,H,82,75,7,0.0,0.0,83.0,38.0,0.6578947368421053,0.0,0.0,0.0,,0.0,0.0,48.0,-10.0,0.3684210526315789,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,35.0,48.0,0.2894736842105264,,0.0,0.6,0.1
2006-08-22,Tottenham,Sheffield United,2.0,0.0,H,79,72,7,1.0,0.0,65.0,15.0,0.4736842105263157,0.0,2.0,-2.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,66.0,16.0,0.4736842105263157,0.0,-2.0,0.0,0.0
2006-08-22,Watford,West Ham,1.0,1.0,D,68,76,-8,1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,-1.0,0.0,1.0,3.0,55.0,-3.0,0.4210526315789473,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-56.0,2.0,-0.4210526315789473,-1.0,-3.0,0.0,1.0
2006-08-23,Aston Villa,Reading,2.0,1.0,H,75,71,4,1.0,1.0,42.0,-13.0,0.2631578947368421,1.0,1.0,0.0,0.0,1.0,3.0,-1.0,-1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0,43.0,-12.0,0.2631578947368421,-1.0,-1.0,,
2006-08-23,Blackburn,Everton,1.0,1.0,D,77,77,0,1.0,0.0,63.0,9.0,0.5,0.0,3.0,-3.0,0.0,1.0,3.0,50.0,-15.0,0.3684210526315789,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,13.0,24.0,0.131578947368421,-1.0,-4.0,0.5,0.36363636363636365
2006-08-23,Charlton,Man United,0.0,3.0,A,75,82,-7,1.0,0.0,47.0,-14.0,0.3421052631578947,1.0,3.0,-2.0,0.0,1.0,3.0,83.0,38.0,0.6578947368421053,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-36.0,-52.0,-0.3157894736842106,-1.0,-6.0,0.0,0.8571428571428571
2006-08-23,Fulham,Bolton,1.0,1.0,D,75,76,-1,1.0,0.0,48.0,-10.0,0.3684210526315789,1.0,5.0,-4.0,0.0,1.0,3.0,56.0,8.0,0.3947368421052631,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-8.0,-18.0,-0.0263157894736841,-1.0,-6.0,0.6,0.2
